"movie", "categ", "winner", "name", "roleOrSong", "note", "year", "oscarNum"
"The Noose", "ACTOR", "False", "Richard Barthelmess", "Nickie Elkins", "", "1927/28", "(1st)"
"The Patent Leather Kid", "ACTOR", "False", "Richard Barthelmess", "The Patent Leather Kid", "", "1927/28", "(1st)"
"The Last Command", "ACTOR", "True", "Emil Jannings", "General Dolgorucki [Grand Duke Sergius Alexander]", "", "1927/28", "(1st)"
"The Way of All Flesh", "ACTOR", "True", "Emil Jannings", "August Schilling", "", "1927/28", "(1st)"
"A Ship Comes In", "ACTRESS", "False", "Louise Dresser", "Mrs. Pleznik", "", "1927/28", "(1st)"
"7th Heaven", "ACTRESS", "True", "Janet Gaynor", "Diane", "", "1927/28", "(1st)"
"Street Angel", "ACTRESS", "True", "Janet Gaynor", "Angela", "", "1927/28", "(1st)"
"Sunrise", "ACTRESS", "True", "Janet Gaynor", "The Wife", "", "1927/28", "(1st)"
"Sadie Thompson", "ACTRESS", "False", "Gloria Swanson", "Sadie Thompson", "", "1927/28", "(1st)"
"Sunrise", "ART DIRECTION", "False", "Rochus Gliese", "", "", "1927/28", "(1st)"
"The Dove", "ART DIRECTION", "True", "William Cameron Menzies", "", "", "1927/28", "(1st)"
"Tempest", "ART DIRECTION", "False", "William Cameron Menzies", "", "", "1927/28", "(1st)"
"Harry Oliver", "ART DIRECTION", "False", "7th Heaven", "", "", "1927/28", "(1st)"
"The Devil Dancer", "CINEMATOGRAPHY", "False", "George Barnes", "", "", "1927/28", "(1st)"
"The Magic Flame", "CINEMATOGRAPHY", "False", "George Barnes", "", "", "1927/28", "(1st)"
"Sadie Thompson", "CINEMATOGRAPHY", "False", "George Barnes", "", "", "1927/28", "(1st)"
"Sunrise", "CINEMATOGRAPHY", "True", "Charles Rosher", "", "[NOTE: For this awards year; awards were presented in the name of the individual and could honor work on one or more films. Charles Rosher and Karl Struss were both honored for cinematography on this film. It is considered a single nomination for the film.]", "1927/28", "(1st)"
"Sunrise", "CINEMATOGRAPHY", "True", "Karl Struss", "", "[NOTE: For this awards year; awards were presented in the name of the individual and could honor work on one or more films. Charles Rosher and Karl Struss were both honored for cinematography on this film. It is considered a single nomination for the film.]", "1927/28", "(1st)"
"Two Arabian Knights", "DIRECTING (Comedy Picture)", "True", "Lewis Milestone", "", "", "1927/28", "(1st)"
"Speedy", "DIRECTING (Comedy Picture)", "False", "Ted Wilde", "", "", "1927/28", "(1st)"
"7th Heaven", "DIRECTING (Dramatic Picture)", "True", "Frank Borzage", "", "", "1927/28", "(1st)"
"Sorrell and Son", "DIRECTING (Dramatic Picture)", "False", "Herbert Brenon", "", "", "1927/28", "(1st)"
"The Crowd", "DIRECTING (Dramatic Picture)", "False", "King Vidor", "", "", "1927/28", "(1st)"
"Wings", "ENGINEERING EFFECTS", "True", "Roy Pomeroy", "", "", "1927/28", "(1st)"
"The Racket", "OUTSTANDING PICTURE", "False", "The Caddo Company", "", "", "1927/28", "(1st)"
"7th Heaven", "OUTSTANDING PICTURE", "False", "Fox", "", "", "1927/28", "(1st)"
"Wings", "OUTSTANDING PICTURE", "True", "Paramount Famous Lasky", "", "", "1927/28", "(1st)"
"Sunrise", "UNIQUE AND ARTISTIC PICTURE", "True", "Fox", "", "", "1927/28", "(1st)"
"The Crowd", "UNIQUE AND ARTISTIC PICTURE", "False", "Metro-Goldwyn-Mayer", "", "", "1927/28", "(1st)"
"Chang", "UNIQUE AND ARTISTIC PICTURE", "False", "Paramount Famous Lasky", "", "", "1927/28", "(1st)"
"The Jazz Singer", "WRITING (Adaptation)", "False", "Alfred Cohn", "", "", "1927/28", "(1st)"
"Glorious Betsy", "WRITING (Adaptation)", "False", "Anthony Coldeway", "", "", "1927/28", "(1st)"
"7th Heaven", "WRITING (Adaptation)", "True", "Benjamin Glazer", "", "", "1927/28", "(1st)"
"The Last Command", "WRITING (Original Story)", "False", "Lajos Biro", "", "", "1927/28", "(1st)"
"Underworld", "WRITING (Original Story)", "True", "Ben Hecht", "", "", "1927/28", "(1st)"
"The Private Life of Helen of Troy", "WRITING (Title Writing)", "False", "Gerald Duffy", "", "", "1927/28", "(1st)"
"Thunderbolt", "ACTOR", "False", "George Bancroft", "Thunderbolt Jim Lang", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"In Old Arizona", "ACTOR", "True", "Warner Baxter", "The Cisco Kid", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930.]", "1928/29", "(2nd)"
"Alibi", "ACTOR", "False", "Chester Morris", "No. 1065; Chick Williams", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"The Valiant", "ACTOR", "False", "Paul Muni", "James Dyke", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"The Patriot", "ACTOR", "False", "Lewis Stone", "Count Pahlen", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"Madame X", "ACTRESS", "False", "Ruth Chatterton", "Jacqueline Floriot", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"The Barker", "ACTRESS", "False", "Betty Compson", "Carrie", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"The Letter", "ACTRESS", "False", "Jeanne Eagels", "Leslie Crosbie", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"The Divine Lady", "ACTRESS", "False", "Corinne Griffith", "Emma Hart; Lady Hamilton", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"The Broadway Melody", "ACTRESS", "False", "Bessie Love", "Hank Mahoney", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"Coquette", "ACTRESS", "True", "Mary Pickford", "Norma Besant", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930.]", "1928/29", "(2nd)"
"The Patriot", "ART DIRECTION", "False", "Hans Dreier", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"The Bridge of San Luis Rey", "ART DIRECTION", "True", "Cedric Gibbons", "", "[NOTE: The award citation reads 'for 'The Bridge of San Luis Rey' and other pictures.' THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930.]", "1928/29", "(2nd)"
"Dynamite", "ART DIRECTION", "False", "Mitchell Leisen", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"Alibi", "ART DIRECTION", "False", "William Cameron Menzies", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"The Awakening", "ART DIRECTION", "False", "William Cameron Menzies", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"Street Angel", "ART DIRECTION", "False", "Harry Oliver", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"Our Dancing Daughters", "CINEMATOGRAPHY", "False", "George Barnes", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"White Shadows in the South Seas", "CINEMATOGRAPHY", "True", "Clyde De Vinna", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930.]", "1928/29", "(2nd)"
"In Old Arizona", "CINEMATOGRAPHY", "False", "Arthur Edeson", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"Four Devils", "CINEMATOGRAPHY", "False", "Ernest Palmer", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"Street Angel", "CINEMATOGRAPHY", "False", "Ernest Palmer", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"The Divine Lady", "CINEMATOGRAPHY", "False", "John Seitz", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"Madame X", "DIRECTING", "False", "Lionel Barrymore", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"The Broadway Melody", "DIRECTING", "False", "Harry Beaumont", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"In Old Arizona", "DIRECTING", "False", "Irving Cummings", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"The Divine Lady", "DIRECTING", "True", "Frank Lloyd", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930.]", "1928/29", "(2nd)"
"Drag", "DIRECTING", "False", "Frank Lloyd", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"Weary River", "DIRECTING", "False", "Frank Lloyd", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"The Patriot", "DIRECTING", "False", "Ernst Lubitsch", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"Alibi", "OUTSTANDING PICTURE", "False", "Feature Productions", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"In Old Arizona", "OUTSTANDING PICTURE", "False", "Fox", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"The Broadway Melody", "OUTSTANDING PICTURE", "True", "Metro-Goldwyn-Mayer", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930.]", "1928/29", "(2nd)"
"Hollywood Revue", "OUTSTANDING PICTURE", "False", "Metro-Goldwyn-Mayer", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"The Patriot", "OUTSTANDING PICTURE", "False", "Paramount Famous Lasky", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"In Old Arizona", "WRITING", "False", "Tom Barry", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"The Valiant", "WRITING", "False", "Tom Barry", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"The Cop", "WRITING", "False", "Elliott Clawson", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"The Leatherneck", "WRITING", "False", "Elliott Clawson", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"Sal of Singapore", "WRITING", "False", "Elliott Clawson", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"Skyscraper", "WRITING", "False", "Elliott Clawson", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"The Last of Mrs. Cheyney", "WRITING", "False", "Hans Kraly", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"The Patriot", "WRITING", "True", "Hans Kraly", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930.]", "1928/29", "(2nd)"
"Our Dancing Daughters", "WRITING", "False", "Josephine Lovett", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"A Woman of Affairs", "WRITING", "False", "Bess Meredyth", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"Wonder of Women", "WRITING", "False", "Bess Meredyth", "", "[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations; no certificates of nomination or honorable mention; and only the winners (*) were revealed during the awards banquet on April 3; 1930. Though not official nominations; the additional names in each category; according to in-house records; were under consideration by the various boards of judges.]", "1928/29", "(2nd)"
"Disraeli", "ACTOR", "True", "George Arliss", "Benjamin Disraeli", "[NOTE: As allowed by the award rules for this year; a single nomination could honor work in one or more films. Though the final awards ballot listed both 'Disraeli' and 'The Green Goddess' in his nomination; the award was announced for only the 'Disraeli' performance. It has never been established as to why this was; but it possibly could have been because the original report from the Acting Branch Board of Judges only listed the 'Disraeli' performance in the results of the nominations voting; or it could have been because on some of the final ballots; the voters had indicated the 'Disraeli' performance over the other.]", "1929/30", "(3rd)"
"The Green Goddess", "ACTOR", "False", "George Arliss", "Oxonian; the Rajah of Rukh", "[NOTE: As allowed by the award rules for this year; a single nomination could honor work in one or more films. Though the final awards ballot listed both 'Disraeli' and 'The Green Goddess' in his nomination; the award was announced for only the 'Disraeli' performance. It has never been established as to why this was; but it possibly could have been because the original report from the Acting Branch Board of Judges only listed the 'Disraeli' performance in the results of the nominations voting; or it could have been because on some of the final ballots; the voters had indicated the 'Disraeli' performance over the other.]", "1929/30", "(3rd)"
"The Big House", "ACTOR", "False", "Wallace Beery", "'Machine Gun' Butch Schmidt", "", "1929/30", "(3rd)"
"The Big Pond", "ACTOR", "False", "Maurice Chevalier", "Pierre Mirande", "", "1929/30", "(3rd)"
"The Love Parade", "ACTOR", "False", "Maurice Chevalier", "Count Alfred Renard", "", "1929/30", "(3rd)"
"Bulldog Drummond", "ACTOR", "False", "Ronald Colman", "Hugh 'Bulldog' Drummond", "", "1929/30", "(3rd)"
"Condemned", "ACTOR", "False", "Ronald Colman", "Michel", "", "1929/30", "(3rd)"
"The Rogue Song", "ACTOR", "False", "Lawrence Tibbett", "Yegor", "", "1929/30", "(3rd)"
"The Devil's Holiday", "ACTRESS", "False", "Nancy Carroll", "Hallie Hobart", "", "1929/30", "(3rd)"
"Sarah and Son", "ACTRESS", "False", "Ruth Chatterton", "Sarah Storm", "", "1929/30", "(3rd)"
"Anna Christie", "ACTRESS", "False", "Greta Garbo", "Anna Christie", "", "1929/30", "(3rd)"
"Romance", "ACTRESS", "False", "Greta Garbo", "Madame Rita Cavallini", "", "1929/30", "(3rd)"
"The Divorcee", "ACTRESS", "True", "Norma Shearer", "Jerry", "[NOTE: As allowed by the award rules for this year; a single nomination could honor work in one or more films. Though the final awards ballot listed both 'The Divorcee' and 'Their Own Desire' in her nomination; the award was announced for only the 'The Divorcee' performance. It has never been established as to why this was; but it possibly could have been because the original report from the Acting Branch Board of Judges only listed 'The Divorcee' performance in the results of the nominations voting; or it could have been because on some of the final ballots; the voters had indicated the 'The Divorcee' performance over the other.]", "1929/30", "(3rd)"
"Their Own Desire", "ACTRESS", "False", "Norma Shearer", "Lucia 'Lally' Marlett", "[NOTE: As allowed by the award rules for this year; a single nomination could honor work in one or more films. Though the final awards ballot listed both 'The Divorcee' and 'Their Own Desire' in her nomination; the award was announced for only the 'The Divorcee' performance. It has never been established as to why this was; but it possibly could have been because the original report from the Acting Branch Board of Judges only listed 'The Divorcee' performance in the results of the nominations voting; or it could have been because on some of the final ballots; the voters had indicated the 'The Divorcee' performance over the other.]", "1929/30", "(3rd)"
"The Trespasser", "ACTRESS", "False", "Gloria Swanson", "Marion Donnell", "", "1929/30", "(3rd)"
"Bulldog Drummond", "ART DIRECTION", "False", "William Cameron Menzies", "", "[NOTE: For the third Academy Awards no certificates of nomination were given out in this category; only the titles of the nominated films and their companies were listed. When the winners were revealed; only the names of the individuals involved with the winning achievements were announced. The name(s) of those credited with this achievement are indicated here in parens.]", "1929/30", "(3rd)"
"King of Jazz", "ART DIRECTION", "True", "Herman Rosse", "", "", "1929/30", "(3rd)"
"The Love Parade", "ART DIRECTION", "False", "Hans Dreier", "", "[NOTE: For the third Academy Awards no certificates of nomination were given out in this category; only the titles of the nominated films and their companies were listed. When the winners were revealed; only the names of the individuals involved with the winning achievements were announced. The name(s) of those credited with this achievement are indicated here in parens.]", "1929/30", "(3rd)"
"Sally", "ART DIRECTION", "False", "Jack Okey", "", "[NOTE: For the third Academy Awards no certificates of nomination were given out in this category; only the titles of the nominated films and their companies were listed. When the winners were revealed; only the names of the individuals involved with the winning achievements were announced. The name(s) of those credited with this achievement are indicated here in parens.]", "1929/30", "(3rd)"
"The Vagabond King", "ART DIRECTION", "False", "Hans Dreier", "", "[NOTE: For the third Academy Awards no certificates of nomination were given out in this category; only the titles of the nominated films and their companies were listed. When the winners were revealed; only the names of the individuals involved with the winning achievements were announced. The name(s) of those credited with this achievement are indicated here in parens.]", "1929/30", "(3rd)"
"All Quiet on the Western Front", "CINEMATOGRAPHY", "False", "Arthur Edeson", "", "[NOTE: For the third Academy Awards no certificates of nomination were given out in this category; only the titles of the nominated films and their companies were listed. When the winners were revealed; only the names of the individuals involved with the winning achievements were announced. The name(s) of those credited with this achievement are indicated here in parens.]", "1929/30", "(3rd)"
"Anna Christie", "CINEMATOGRAPHY", "False", "William Daniels", "", "[NOTE: For the third Academy Awards no certificates of nomination were given out in this category; only the titles of the nominated films and their companies were listed. When the winners were revealed; only the names of the individuals involved with the winning achievements were announced. The name(s) of those credited with this achievement are indicated here in parens.]", "1929/30", "(3rd)"
"Hell's Angels", "CINEMATOGRAPHY", "False", "Gaetano Gaudio; Harry Perry", "", "[NOTE: For the third Academy Awards no certificates of nomination were given out in this category; only the titles of the nominated films and their companies were listed. When the winners were revealed; only the names of the individuals involved with the winning achievements were announced. The name(s) of those credited with this achievement are indicated here in parens.]", "1929/30", "(3rd)"
"The Love Parade", "CINEMATOGRAPHY", "False", "Victor Milner", "", "[NOTE: For the third Academy Awards no certificates of nomination were given out in this category; only the titles of the nominated films and their companies were listed. When the winners were revealed; only the names of the individuals involved with the winning achievements were announced. The name(s) of those credited with this achievement are indicated here in parens.]", "1929/30", "(3rd)"
"With Byrd at the South Pole", "CINEMATOGRAPHY", "True", "Joseph T. Rucker; Willard Van Der Veer", "", "", "1929/30", "(3rd)"
"Anna Christie", "DIRECTING", "False", "Clarence Brown", "", "", "1929/30", "(3rd)"
"Romance", "DIRECTING", "False", "Clarence Brown", "", "", "1929/30", "(3rd)"
"The Divorcee", "DIRECTING", "False", "Robert Leonard", "", "", "1929/30", "(3rd)"
"The Love Parade", "DIRECTING", "False", "Ernst Lubitsch", "", "", "1929/30", "(3rd)"
"All Quiet on the Western Front", "DIRECTING", "True", "Lewis Milestone", "", "", "1929/30", "(3rd)"
"King Vidor", "DIRECTING", "False", "Hallelujah", "", "", "1929/30", "(3rd)"
"All Quiet on the Western Front", "OUTSTANDING PRODUCTION", "True", "Universal", "", "", "1929/30", "(3rd)"
"The Big House", "OUTSTANDING PRODUCTION", "False", "Cosmopolitan", "", "", "1929/30", "(3rd)"
"Disraeli", "OUTSTANDING PRODUCTION", "False", "Warner Bros.", "", "", "1929/30", "(3rd)"
"The Divorcee", "OUTSTANDING PRODUCTION", "False", "Metro-Goldwyn-Mayer", "", "", "1929/30", "(3rd)"
"The Love Parade", "OUTSTANDING PRODUCTION", "False", "Paramount Famous Lasky", "", "", "1929/30", "(3rd)"
"The Big House", "SOUND RECORDING", "True", "Metro-Goldwyn-Mayer Studio Sound Department; Douglas Shearer; Sound Director", "", "", "1929/30", "(3rd)"
"The Case of Sergeant Grischa", "SOUND RECORDING", "False", "RKO Radio Studio Sound Department; John Tribby; Sound Director", "", "[NOTE: For the third Academy Awards no certificates of nomination were given out in this category; only the titles of the nominated films and their companies were listed. When the winners were revealed; only the names of the individuals involved with the winning achievements were announced. The name(s) of those credited with this achievement are indicated here in parens.]", "1929/30", "(3rd)"
"The Love Parade", "SOUND RECORDING", "False", "Paramount Famous Lasky Studio Sound Department; Franklin Hansen; Sound Director", "", "[NOTE: For the third Academy Awards no certificates of nomination were given out in this category; only the titles of the nominated films and their companies were listed. When the winners were revealed; only the names of the individuals involved with the winning achievements were announced. The name(s) of those credited with this achievement are indicated here in parens.]", "1929/30", "(3rd)"
"Raffles", "SOUND RECORDING", "False", "United Artists Studio Sound Department; Oscar Lagerstrom; Sound Director", "", "[NOTE: For the third Academy Awards no certificates of nomination were given out in this category; only the titles of the nominated films and their companies were listed. When the winners were revealed; only the names of the individuals involved with the winning achievements were announced. The name(s) of those credited with this achievement are indicated here in parens.]", "1929/30", "(3rd)"
